generation,rank_1,rank_2,swapAccepted
693000,2,4,1
694000,3,4,1
695000,2,3,0
696000,1,2,1
697000,1,3,1
698000,1,2,1
699000,1,3,1
700000,1,2,1
701000,1,4,1
702000,1,3,1
703000,1,2,1
704000,2,3,1
705000,2,3,1
706000,2,4,0
707000,1,2,1
708000,3,4,1
709000,2,3,0
710000,3,4,1
711000,2,3,1
712000,2,3,1
713000,1,4,0
714000,1,3,1
715000,2,3,0
716000,1,4,0
717000,1,3,1
718000,1,4,0
719000,1,3,1
720000,3,4,0
721000,2,3,1
722000,2,3,1
723000,1,2,1
724000,2,4,0
725000,1,3,1
726000,1,2,1
727000,2,4,1
728000,2,3,1
729000,2,4,0
730000,1,2,1
731000,2,3,0
732000,3,4,1
733000,3,4,1
734000,1,3,0
735000,2,4,0
736000,2,3,1
737000,2,3,1
738000,1,4,1
739000,1,2,1
740000,3,4,1
741000,2,3,1
742000,3,4,1
743000,3,4,1
744000,1,4,0
745000,1,3,1
746000,3,4,1
747000,1,4,1
748000,1,4,1
749000,3,4,1
750000,1,2,1
751000,1,2,1
752000,1,4,0
753000,2,3,1
754000,1,2,1
755000,1,3,0
756000,2,4,0
757000,1,2,1
758000,1,3,1
759000,1,4,0
760000,2,4,0
761000,3,4,0
762000,3,4,1
763000,2,3,1
764000,2,3,1
765000,1,2,1
766000,1,4,1
767000,2,4,1
768000,3,4,1
769000,1,4,0
770000,2,4,1
771000,2,4,1
772000,1,3,1
773000,1,3,1
774000,2,4,1
775000,1,4,1
776000,2,4,1
777000,1,2,1
778000,2,3,1
779000,2,3,1
780000,1,2,1
781000,1,2,1
782000,2,3,1
783000,2,4,1
784000,3,4,1
785000,3,4,0
786000,1,3,1
787000,2,4,1
788000,1,2,1
789000,2,3,1
790000,1,2,0
791000,2,4,1
792000,1,3,1
793000,2,3,1
794000,2,4,1
795000,1,4,1
796000,1,4,1
797000,1,2,1
798000,2,4,1
799000,1,4,1
800000,1,4,0
801000,2,3,0
802000,1,3,0
803000,2,4,1
804000,1,3,0
805000,1,4,0
806000,1,3,0
807000,2,4,1
808000,2,4,1
809000,2,3,1
810000,1,2,1
811000,2,4,0
812000,1,2,1
813000,2,4,1
814000,2,3,1
815000,2,4,1
816000,2,3,1
817000,3,4,1
818000,1,3,1
819000,1,3,0
820000,1,3,1
821000,1,4,0
822000,2,3,1
823000,1,2,1
824000,2,4,1
825000,1,4,0
826000,2,3,1
827000,1,3,1
828000,1,4,1
829000,2,3,1
830000,2,4,0
831000,1,3,1
832000,2,4,1
833000,3,4,1
834000,2,4,1
835000,2,3,1
836000,1,4,0
837000,1,2,1
838000,1,3,1
839000,2,3,1
840000,2,4,0
841000,1,4,0
842000,1,2,1
843000,2,3,1
844000,2,4,1
845000,2,4,1
846000,2,3,1
847000,2,3,1
848000,2,4,0
849000,1,2,1
850000,3,4,1
851000,2,4,1
852000,1,2,1
853000,2,4,1
854000,2,3,1
855000,1,4,1
856000,2,3,1
857000,1,2,1
858000,2,3,0
859000,1,4,1
860000,1,4,1
861000,1,4,1
862000,1,3,1
863000,1,4,1
864000,1,2,1
865000,1,2,1
866000,2,3,1
867000,3,4,0
868000,1,4,0
869000,2,4,0
870000,1,2,1
871000,1,2,1
872000,1,4,1
873000,1,4,1
874000,3,4,1
875000,2,3,0
876000,2,4,1
877000,3,4,1
878000,2,4,1
879000,1,4,0
880000,1,3,1
881000,1,2,1
882000,3,4,1
883000,2,4,1
884000,1,4,1
885000,1,2,1
886000,3,4,0
887000,1,3,1
888000,1,2,1
889000,1,2,1
890000,1,3,1
891000,3,4,1
892000,3,4,1
893000,1,2,1
894000,1,4,0
895000,3,4,1
896000,3,4,1
897000,1,4,1
898000,2,4,1
899000,3,4,1
900000,1,3,1
901000,2,4,1
902000,1,3,1
903000,1,2,1
904000,2,4,1
905000,1,2,1
906000,2,3,1
907000,2,3,1
908000,1,4,0
909000,1,2,1
910000,1,4,0
911000,2,4,0
912000,3,4,1
913000,2,3,0
914000,1,2,1
915000,3,4,1
916000,1,2,1
917000,2,4,1
918000,2,4,1
919000,1,4,0
920000,3,4,0
921000,3,4,1
922000,2,4,1
923000,3,4,1
924000,1,3,0
925000,2,4,0
926000,2,4,1
927000,2,4,1
928000,1,3,1
929000,3,4,1
930000,3,4,1
931000,1,2,1
932000,3,4,1
933000,2,3,1
934000,1,4,1
935000,2,3,1
936000,2,3,1
937000,1,2,1
938000,1,4,1
939000,3,4,1
940000,2,3,1
941000,2,4,1
942000,1,3,1
943000,1,4,0
944000,1,2,1
945000,2,4,0
946000,3,4,1
947000,1,4,1
948000,3,4,1
